Country,Continent,Year,Population,Population_Growth_Rate,Area_km2,Population_Density
India,Asia,2020,1380004385,1.0,3287263,420
China,Asia,2020,1426106093,0.4,9596961,149
United States,North America,2020,335005463,0.5,9833517,34
Indonesia,Asia,2020,273523615,1.1,1904569,144
Pakistan,Asia,2020,220892340,2.0,881912,250
Brazil,South America,2020,213196304,0.7,8515767,25
Nigeria,Africa,2020,208679114,2.6,923768,226
Bangladesh,Asia,2020,167420951,1.0,147570,1135
Russia,Europe,2020,145617329,0.1,17098242,9
Mexico,North America,2020,128932753,1.1,1964375,66
Japan,Asia,2020,125244761,-0.3,377975,331
Ethiopia,Africa,2020,117190911,2.6,1104300,106
Philippines,Asia,2020,109581085,1.4,300000,365
Egypt,Africa,2020,102334403,2.0,1002450,102
Vietnam,Asia,2020,97338583,0.9,331212,294
DR Congo,Africa,2020,95894118,3.2,2344858,41
Turkey,Europe,2020,84339067,1.1,783562,108
Iran,Asia,2020,87290193,1.2,1648195,53
Germany,Europe,2020,83160871,0.1,357022,233
Thailand,Asia,2020,69799978,0.3,513120,136
United Kingdom,Europe,2020,67215293,0.5,243610,276
France,Europe,2020,67848591,0.4,551695,123
Italy,Europe,2020,59554023,-0.2,301340,198
South Africa,Africa,2020,58801927,1.3,1221037,48
Tanzania,Africa,2020,61704518,3.0,945087,65
Myanmar,Asia,2020,53423198,0.9,676578,79
South Korea,Asia,2020,51844627,0.1,100210,517
Colombia,South America,2020,50930662,1.1,1141748,45
Spain,Europe,2020,46754783,-0.2,505990,92
Argentina,South America,2020,45195777,1.0,2780400,16
Kenya,Africa,2020,53771296,2.3,580367,93
Algeria,Africa,2020,43851044,1.8,2381741,18
Sudan,Africa,2020,46604200,2.4,1861484,25
Ukraine,Europe,2020,43909673,-0.6,603500,73
Iraq,Asia,2020,41179350,2.3,438317,94
Afghanistan,Asia,2020,38972230,2.3,652230,60
Poland,Europe,2020,37846611,-0.1,312696,121
Canada,North America,2020,38005238,1.0,9984670,4
Morocco,Africa,2020,36910558,1.2,446550,83
Saudi Arabia,Asia,2020,35000000,1.5,2149690,16
